dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,gap_mean,gap_median,gap_mode,gap_min,gap_max,gap_variance,gap_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,simple_asc_multi,instance_0010.txt,5,5,0,0,5.759075907590759,5.759075907590759,5.759075907590759,5.759075907590759,5.759075907590759,0.0,0.0,0.6634529284771052,0.6634529284771052,0.6634529284771052,0.6634529284771052,0.6634529284771052,0.0,0.0,1745.0,1745.0,1745,1745,1745,0.0,0.0,303.0,303.0,303,303,303,0.0,0.0,0.43413540000000006,0.425419,0.290974,0.290974,0.522524,0.00715374687944,0.08457982548716922
a,simple_asc_multi,instance_0011.txt,5,5,0,0,6.806666666666667,6.806666666666667,6.806666666666667,6.806666666666667,6.806666666666667,0.0,0.0,0.5960435212660732,0.5960435212660732,0.5960435212660732,0.5960435212660732,0.5960435212660732,0.0,0.0,2042.0,2042.0,2042,2042,2042,0.0,0.0,300.0,300.0,300,300,300,0.0,0.0,0.3933024,0.410784,0.396878,0.284353,0.447818,0.003254862217039998,0.05705139978160043
a,simple_asc_multi,instance_0012.txt,5,5,0,0,2.046511627906977,2.046511627906977,2.046511627906977,2.046511627906977,2.046511627906977,0.0,0.0,0.8180878552971576,0.8180878552971577,0.8180878552971577,0.8180878552971577,0.8180878552971577,1.232595164407831e-32,1.1102230246251565e-16,176.0,176.0,176,176,176,0.0,0.0,86.0,86.0,86,86,86,0.0,0.0,0.0382596,0.039915,0.041931,0.027685,0.042085,2.8939719839999994e-05,0.005379565023308111
a,simple_asc_multi,instance_0013.txt,5,5,0,0,12.453804347826088,12.453804347826088,12.453804347826088,12.453804347826088,12.453804347826088,0.0,0.0,0.8939059917944043,0.8939059917944042,0.8939059917944042,0.8939059917944042,0.8939059917944042,1.232595164407831e-32,1.1102230246251565e-16,4583.0,4583.0,4583,4583,4583,0.0,0.0,368.0,368.0,368,368,368,0.0,0.0,0.8571835999999999,0.923626,0.668294,0.668294,0.930369,0.010203250052239998,0.10101113825831287
a,simple_asc_multi,instance_0014.txt,5,5,0,0,20.473544973544975,20.473544973544975,20.473544973544975,20.473544973544975,20.473544973544975,0.0,0.0,0.8872827854309338,0.8872827854309336,0.8872827854309336,0.8872827854309336,0.8872827854309336,1.232595164407831e-32,1.1102230246251565e-16,7739.0,7739.0,7739,7739,7739,0.0,0.0,378.0,378.0,378,378,378,0.0,0.0,0.9469012000000001,0.934591,0.600793,0.600793,1.306936,0.05014606286376001,0.2239331660646989
a,simple_asc_multi,instance_0015.txt,5,5,0,0,10.663768115942029,10.663768115942029,10.663768115942029,10.663768115942029,10.663768115942029,0.0,0.0,0.9285908385093167,0.9285908385093168,0.9285908385093168,0.9285908385093168,0.9285908385093168,1.232595164407831e-32,1.1102230246251565e-16,3679.0,3679.0,3679,3679,3679,0.0,0.0,345.0,345.0,345,345,345,0.0,0.0,0.888587,0.899819,0.899819,0.781013,0.946519,0.0033669956848000017,0.058025819122180446
a,simple_asc_multi,instance_0016.txt,5,5,0,0,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,9.661971830985916,0.0,0.0,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.8863297431648716,0.0,0.0,686.0,686.0,686,686,686,0.0,0.0,71.0,71.0,71,71,71,0.0,0.0,0.0246234,0.02452,0.024378,0.024174,0.025077,1.194750399999996e-07,0.00034565161651582015
a,simple_asc_multi,instance_0017.txt,5,5,0,0,3.804347826086956,3.8043478260869565,3.8043478260869565,3.8043478260869565,3.8043478260869565,1.9721522630525295e-31,4.440892098500626e-16,0.8957712924359738,0.8957712924359739,0.8957712924359739,0.8957712924359739,0.8957712924359739,1.232595164407831e-32,1.1102230246251565e-16,175.0,175.0,175,175,175,0.0,0.0,46.0,46.0,46,46,46,0.0,0.0,0.009833,0.009767,0.010121,0.009656,0.010121,2.5297199999999992e-08,0.00015905093523774073
a,simple_asc_multi,instance_0018.txt,5,5,0,0,15.253164556962025,15.253164556962025,15.253164556962025,15.253164556962025,15.253164556962025,0.0,0.0,0.8698535447358189,0.869853544735819,0.869853544735819,0.869853544735819,0.869853544735819,1.232595164407831e-32,1.1102230246251565e-16,1205.0,1205.0,1205,1205,1205,0.0,0.0,79.0,79.0,79,79,79,0.0,0.0,0.0427226,0.043126,0.043285,0.041116,0.043285,6.643898399999992e-07,0.0008151011225608753
a,simple_asc_multi,instance_0019.txt,5,5,0,0,9.336448598130842,9.336448598130842,9.336448598130842,9.336448598130842,9.336448598130842,0.0,0.0,0.9537799574349959,0.9537799574349959,0.9537799574349959,0.9537799574349959,0.9537799574349959,0.0,0.0,999.0,999.0,999,999,999,0.0,0.0,107.0,107.0,107,107,107,0.0,0.0,0.0938736,0.093914,0.093914,0.093013,0.094872,4.717690400000003e-07,0.0006868544532868666
a,simple_asc_multi,instance_0020.txt,5,5,0,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,8.760000000000002e-05,8.8e-05,9.1e-05,8.3e-05,9.1e-05,8.24000000000001e-12,2.8705400188814665e-06
a,simple_asc_simple,instance_0001.txt,5,5,0,0,2.2758620689655173,2.2758620689655173,2.2758620689655173,2.2758620689655173,2.2758620689655173,0.0,0.0,0.8482758620689654,0.8482758620689654,0.8482758620689654,0.8482758620689654,0.8482758620689654,0.0,0.0,66.0,66.0,66,66,66,0.0,0.0,29.0,29.0,29,29,29,0.0,0.0,0.0028697999999999996,0.00286,0.002788,0.002788,0.002988,5.242560000000006e-09,7.240552465109279e-05
a,simple_asc_simple,instance_0002.txt,5,5,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.000115,0.000108,0.000116,9.1e-05,0.000153,4.2680000000000007e-10,2.065913841378677e-05
a,simple_asc_simple,instance_0003.txt,5,5,0,0,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,104.0,104.0,104,104,104,0.0,0.0,39.0,39.0,39,39,39,0.0,0.0,0.0055872000000000005,0.005624,0.005624,0.004839,0.006467,4.221525599999997e-07,0.0006497326834937579
a,simple_asc_simple,instance_0004.txt,5,5,0,0,1.6363636363636362,1.6363636363636365,1.6363636363636365,1.6363636363636365,1.6363636363636365,4.930380657631324e-32,2.220446049250313e-16,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.5324675324675324,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,22.0,22.0,22,22,22,0.0,0.0,0.0012702000000000002,0.001415,0.001421,0.000996,0.001507,4.832696000000001e-08,0.00021983393732542754
a,simple_asc_simple,instance_0005.txt,5,5,0,0,31.15602836879433,31.156028368794328,31.156028368794328,31.156028368794328,31.156028368794328,1.262177448353619e-29,3.552713678800501e-15,0.8248431293391747,0.8248431293391746,0.8248431293391746,0.8248431293391746,0.8248431293391746,1.232595164407831e-32,1.1102230246251565e-16,4393.0,4393.0,4393,4393,4393,0.0,0.0,141.0,141.0,141,141,141,0.0,0.0,0.22876159999999998,0.222254,0.19665,0.19665,0.269463,0.0008540695274400004,0.029224467958202428
a,simple_asc_simple,instance_0006.txt,5,5,0,0,26.120805369127517,26.120805369127517,26.120805369127517,26.120805369127517,26.120805369127517,0.0,0.0,0.9621985450519139,0.9621985450519138,0.9621985450519138,0.9621985450519138,0.9621985450519138,1.232595164407831e-32,1.1102230246251565e-16,3892.0,3892.0,3892,3892,3892,0.0,0.0,149.0,149.0,149,149,149,0.0,0.0,0.2532478,0.27419,0.14719,0.14719,0.302176,0.0029774970553600004,0.05456644624089057
a,simple_asc_simple,instance_0007.txt,5,5,0,0,25.81879194630873,25.818791946308725,25.818791946308725,25.818791946308725,25.818791946308725,1.262177448353619e-29,3.552713678800501e-15,0.9341777133299967,0.9341777133299968,0.9341777133299968,0.9341777133299968,0.9341777133299968,1.232595164407831e-32,1.1102230246251565e-16,3847.0,3847.0,3847,3847,3847,0.0,0.0,149.0,149.0,149,149,149,0.0,0.0,0.2705782,0.278948,0.286279,0.224037,0.286279,0.0005515942925600002,0.02348604463420778
a,simple_asc_simple,instance_0008.txt,5,5,0,0,20.120567375886523,20.120567375886523,20.120567375886523,20.120567375886523,20.120567375886523,0.0,0.0,0.8765163735053895,0.8765163735053895,0.8765163735053895,0.8765163735053895,0.8765163735053895,0.0,0.0,2837.0,2837.0,2837,2837,2837,0.0,0.0,141.0,141.0,141,141,141,0.0,0.0,0.1838652,0.193,0.195139,0.143054,0.198153,0.0004235258381600003,0.020579743393929872
a,simple_asc_simple,instance_0009.txt,5,5,0,0,1.7078651685393258,1.7078651685393258,1.7078651685393258,1.7078651685393258,1.7078651685393258,0.0,0.0,0.6133135467458131,0.6133135467458131,0.6133135467458131,0.6133135467458131,0.6133135467458131,0.0,0.0,152.0,152.0,152,152,152,0.0,0.0,89.0,89.0,89,89,89,0.0,0.0,0.021166599999999997,0.021167,0.021419,0.020859,0.021419,3.663064000000023e-08,0.00019139132686723354
a,simple_asc_simple,instance_0010.txt,5,5,0,0,5.470219435736677,5.470219435736677,5.470219435736677,5.470219435736677,5.470219435736677,0.0,0.0,0.6803330323779402,0.6803330323779402,0.6803330323779402,0.6803330323779402,0.6803330323779402,0.0,0.0,1745.0,1745.0,1745,1745,1745,0.0,0.0,319.0,319.0,319,319,319,0.0,0.0,0.2669456,0.289816,0.173633,0.173633,0.321374,0.0028487796498399996,0.05337396040992273
