algorithm,instance,instance_path,run_id,seed,objective,time_s,feasible,timed_out,total_items,num_aisles,num_orders,params
simple,instance_0008.txt,datasets/a/instance_0008.txt,0,42,20.88235294117647,0.175693,True,False,2840,136,511,{'greedy': 'simple'}
simple,instance_0010.txt,datasets/a/instance_0010.txt,0,42,5.578274760383387,0.215755,True,False,1746,313,594,{'greedy': 'simple'}
simple,instance_0019.txt,datasets/a/instance_0019.txt,0,42,8.919642857142858,0.110336,True,False,999,112,820,{'greedy': 'simple'}
simple,instance_0005.txt,datasets/a/instance_0005.txt,0,42,31.392857142857142,0.206258,True,False,4395,140,915,{'greedy': 'simple'}
simple_multi,instance_0009.txt,datasets/a/instance_0009.txt,0,42,2.217391304347826,0.021823,True,False,153,69,43,{'greedy': 'multi'}
simple,instance_0011.txt,datasets/a/instance_0011.txt,0,42,6.5303514376996805,0.375233,True,False,2044,313,614,{'greedy': 'simple'}
simple_multi,instance_0005.txt,datasets/a/instance_0005.txt,0,42,31.611510791366907,0.231931,True,False,4394,139,832,{'greedy': 'multi'}
simple_multi,instance_0008.txt,datasets/a/instance_0008.txt,0,42,21.353383458646615,0.24956,True,False,2840,133,493,{'greedy': 'multi'}
simple_multi,instance_0012.txt,datasets/a/instance_0012.txt,0,42,2.901639344262295,0.034813,True,False,177,61,42,{'greedy': 'multi'}
simple,instance_0006.txt,datasets/a/instance_0006.txt,0,42,26.65753424657534,0.193426,True,False,3892,146,2738,{'greedy': 'simple'}
simple,instance_0007.txt,datasets/a/instance_0007.txt,0,42,26.902097902097903,0.225707,True,False,3847,143,3011,{'greedy': 'simple'}
simple_multi,instance_0011.txt,datasets/a/instance_0011.txt,0,42,6.928813559322034,0.436945,True,False,2044,295,598,{'greedy': 'multi'}
simple_multi,instance_0017.txt,datasets/a/instance_0017.txt,0,42,3.888888888888889,0.010354,True,False,175,45,175,{'greedy': 'multi'}
simple_multi,instance_0016.txt,datasets/a/instance_0016.txt,0,42,9.27027027027027,0.034334,True,False,686,74,686,{'greedy': 'multi'}
simple_multi,instance_0010.txt,datasets/a/instance_0010.txt,0,42,5.878787878787879,0.534094,True,False,1746,297,605,{'greedy': 'multi'}
simple_multi,instance_0020.txt,datasets/a/instance_0020.txt,0,42,3.0,0.000141,True,False,12,4,4,{'greedy': 'multi'}
simple_multi,instance_0018.txt,datasets/a/instance_0018.txt,0,42,15.253164556962025,0.034634,True,False,1205,79,1037,{'greedy': 'multi'}
simple_multi,instance_0006.txt,datasets/a/instance_0006.txt,0,42,27.408450704225352,0.363635,True,False,3892,142,2734,{'greedy': 'multi'}
simple_multi,instance_0019.txt,datasets/a/instance_0019.txt,0,42,9.699029126213592,0.092249,True,False,999,103,833,{'greedy': 'multi'}
simple_multi,instance_0007.txt,datasets/a/instance_0007.txt,0,42,26.53103448275862,0.248386,True,False,3847,145,2976,{'greedy': 'multi'}
simple,instance_0015.txt,datasets/a/instance_0015.txt,0,42,10.24791086350975,0.653092,True,False,3679,359,3073,{'greedy': 'simple'}
simple,instance_0013.txt,datasets/a/instance_0013.txt,0,42,12.487738419618529,0.63277,True,False,4583,367,3899,{'greedy': 'simple'}
simple_multi,instance_0013.txt,datasets/a/instance_0013.txt,0,42,12.660220994475138,0.74195,True,False,4583,362,3916,{'greedy': 'multi'}
simple_multi,instance_0015.txt,datasets/a/instance_0015.txt,0,42,10.451704545454545,0.726189,True,False,3679,352,3085,{'greedy': 'multi'}
simple,instance_0014.txt,datasets/a/instance_0014.txt,0,42,20.31233595800525,1.377056,True,False,7739,381,6492,{'greedy': 'simple'}
simple_multi,instance_0014.txt,datasets/a/instance_0014.txt,0,42,20.41952506596306,0.912975,True,False,7739,379,6479,{'greedy': 'multi'}
