algorithm,instance,instance_path,run_id,seed,objective,time_s,feasible,timed_out,total_items,num_aisles,num_orders,params
aisle_cluster_expansion,instance_0009.txt,datasets/a/instance_0009.txt,0,42,3.2,0.140111,True,False,64,20,13,"{'attempts': 20, 'max_added_aisles': 20}"
simple,instance_0015.txt,datasets/a/instance_0015.txt,0,42,10.219444444444445,0.615534,True,False,3679,360,3050,{'greedy': 'simple'}
aisle_cluster_expansion,instance_0007.txt,datasets/a/instance_0007.txt,0,42,293.4,0.491845,True,False,1467,5,1178,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0012.txt,datasets/a/instance_0012.txt,0,42,8.6,0.197479,True,False,43,5,8,"{'attempts': 20, 'max_added_aisles': 20}"
simple,instance_0013.txt,datasets/a/instance_0013.txt,0,42,12.556164383561644,0.642941,True,False,4583,365,3877,{'greedy': 'simple'}
aisle_cluster_expansion,instance_0005.txt,datasets/a/instance_0005.txt,0,42,140.4,1.295002,True,False,1404,10,352,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0016.txt,datasets/a/instance_0016.txt,0,42,0.0,0.015513,False,False,0,0,0,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0017.txt,datasets/a/instance_0017.txt,0,42,0.0,0.006203,False,False,0,0,0,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0011.txt,datasets/a/instance_0011.txt,0,42,0.0,1.104145,False,False,0,0,0,"{'attempts': 20, 'max_added_aisles': 20}"
simple_multi,instance_0015.txt,datasets/a/instance_0015.txt,0,42,10.451704545454545,0.657412,True,False,3679,352,3091,{'greedy': 'multi'}
aisle_cluster_expansion,instance_0020.txt,datasets/a/instance_0020.txt,0,42,5.0,0.000372,True,False,10,2,4,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0008.txt,datasets/a/instance_0008.txt,0,42,132.2,1.397466,True,False,1322,10,199,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0019.txt,datasets/a/instance_0019.txt,0,42,172.0,0.062091,True,False,172,1,158,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0018.txt,datasets/a/instance_0018.txt,0,42,102.0,0.193122,True,False,612,6,525,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0010.txt,datasets/a/instance_0010.txt,0,42,0.0,1.331521,False,False,0,0,0,"{'attempts': 20, 'max_added_aisles': 20}"
simple_multi,instance_0013.txt,datasets/a/instance_0013.txt,0,42,12.730555555555556,0.925488,True,False,4583,360,3903,{'greedy': 'multi'}
aisle_cluster_expansion,instance_0015.txt,datasets/a/instance_0015.txt,0,42,117.0,0.707295,True,False,468,4,411,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0013.txt,datasets/a/instance_0013.txt,0,42,80.42105263157895,1.829558,True,False,1528,19,1314,"{'attempts': 20, 'max_added_aisles': 20}"
aisle_cluster_expansion,instance_0014.txt,datasets/a/instance_0014.txt,0,42,134.26666666666668,2.284234,True,False,2014,15,1788,"{'attempts': 20, 'max_added_aisles': 20}"
simple,instance_0014.txt,datasets/a/instance_0014.txt,0,42,20.259162303664922,1.330793,True,False,7739,382,6494,{'greedy': 'simple'}
simple_multi,instance_0014.txt,datasets/a/instance_0014.txt,0,42,20.36578947368421,1.163987,True,False,7739,380,6418,{'greedy': 'multi'}
